timestamp,deidentified_location,temp_obs,cloudiness,wind_direction,dew_temp,pressure_sea_level,precipitation,wind_speed
2016-01-01 00:00:00,location 7369,25.0,6.0,0.0,20.0,1019.7,,0.0
2016-01-01 01:00:00,location 7369,24.4,,70.0,21.1,1020.2,-1.0,1.5
2016-01-01 02:00:00,location 7369,22.8,2.0,0.0,21.1,1020.2,0.0,0.0
2016-01-01 03:00:00,location 7369,21.1,2.0,0.0,20.6,1020.1,0.0,0.0
2016-01-01 04:00:00,location 7369,20.0,2.0,250.0,20.0,1020.0,-1.0,2.6
2016-01-01 05:00:00,location 7369,19.4,,0.0,19.4,,0.0,0.0
2016-01-01 06:00:00,location 7369,21.1,6.0,0.0,21.1,1019.4,-1.0,0.0
2016-01-01 07:00:00,location 7369,21.1,,210.0,21.1,1018.8,0.0,1.5
2016-01-01 08:00:00,location 7369,20.6,,0.0,20.0,1018.1,0.0,0.0
2016-01-01 09:00:00,location 7369,21.1,,290.0,20.6,1019.0,0.0,1.5
2016-01-01 10:00:00,location 7369,21.1,,0.0,20.6,1018.4,-1.0,0.0
2016-01-01 11:00:00,location 7369,20.6,,0.0,20.0,1018.9,0.0,0.0
2016-01-01 12:00:00,location 7369,18.9,6.0,210.0,18.9,1019.2,0.0,1.5
2016-01-01 13:00:00,location 7369,20.0,,0.0,20.0,1019.6,0.0,0.0
2016-01-01 14:00:00,location 7369,21.7,,0.0,21.1,1020.1,0.0,0.0
2016-01-01 15:00:00,location 7369,23.9,,210.0,21.1,1020.3,0.0,3.1
2016-01-01 16:00:00,location 7369,26.1,,210.0,20.0,1020.2,0.0,4.1
2016-01-01 17:00:00,location 7369,26.7,,230.0,20.6,1019.5,0.0,3.6
2016-01-01 18:00:00,location 7369,27.8,6.0,200.0,20.0,1018.2,0.0,5.1
2016-01-01 19:00:00,location 7369,28.3,,180.0,19.4,1017.2,0.0,5.1
2016-01-01 20:00:00,location 7369,28.3,,210.0,18.9,1017.0,0.0,4.1
2016-01-01 21:00:00,location 7369,27.8,,220.0,18.3,1016.8,0.0,4.6
2016-01-01 22:00:00,location 7369,26.7,,230.0,18.3,1016.9,0.0,3.1
2016-01-01 23:00:00,location 7369,25.6,,230.0,18.3,1017.5,0.0,3.1
2016-01-02 00:00:00,location 7369,24.4,6.0,270.0,18.9,1018.1,-1.0,2.6
2016-01-02 01:00:00,location 7369,23.9,4.0,300.0,18.3,1018.5,0.0,2.1
2016-01-02 02:00:00,location 7369,22.2,,360.0,19.4,,0.0,5.7
2016-01-02 03:00:00,location 7369,21.1,,20.0,18.9,1019.5,0.0,5.1
2016-01-02 04:00:00,location 7369,20.6,,30.0,17.8,1019.4,0.0,4.6
2016-01-02 05:00:00,location 7369,19.4,4.0,20.0,17.2,1019.3,0.0,2.6
2016-01-02 06:00:00,location 7369,18.9,6.0,10.0,17.2,1019.0,0.0,2.1
2016-01-02 07:00:00,location 7369,18.9,,10.0,17.2,1018.4,0.0,2.6
2016-01-02 08:00:00,location 7369,18.9,,360.0,16.7,1018.5,0.0,3.6
2016-01-02 09:00:00,location 7369,18.3,,10.0,16.7,1018.1,0.0,3.1
2016-01-02 10:00:00,location 7369,18.9,,10.0,16.7,1018.1,0.0,5.1
2016-01-02 11:00:00,location 7369,16.7,,20.0,13.9,1018.7,0.0,6.2
2016-01-02 12:00:00,location 7369,15.6,8.0,350.0,13.3,1019.5,-1.0,5.7
2016-01-02 13:00:00,location 7369,15.0,,360.0,13.9,1020.0,0.0,4.1
2016-01-02 14:00:00,location 7369,16.1,,360.0,13.3,1020.9,0.0,5.1
2016-01-02 15:00:00,location 7369,17.2,,360.0,13.3,1021.5,0.0,3.6
2016-01-02 16:00:00,location 7369,17.8,,350.0,13.3,1021.5,0.0,3.6
2016-01-02 17:00:00,location 7369,19.4,,360.0,11.7,1020.4,0.0,3.6
2016-01-02 18:00:00,location 7369,20.6,6.0,10.0,11.7,1018.7,0.0,3.1
2016-01-02 19:00:00,location 7369,22.2,,60.0,12.8,1017.6,0.0,3.1
2016-01-02 20:00:00,location 7369,22.8,,20.0,13.9,1016.8,0.0,3.1
2016-01-02 21:00:00,location 7369,21.1,,350.0,13.9,1017.6,0.0,5.1
2016-01-02 22:00:00,location 7369,20.0,,10.0,13.9,1017.9,0.0,4.1
2016-01-02 23:00:00,location 7369,18.9,,10.0,13.9,1018.1,0.0,4.6
2016-01-03 00:00:00,location 7369,17.8,8.0,10.0,13.9,1018.2,0.0,5.1
2016-01-03 01:00:00,location 7369,16.7,,20.0,12.8,1018.6,0.0,6.7
2016-01-03 02:00:00,location 7369,16.7,,20.0,12.8,1018.3,0.0,4.1
2016-01-03 03:00:00,location 7369,16.1,,350.0,12.8,1018.0,0.0,4.1
2016-01-03 04:00:00,location 7369,16.7,,340.0,12.8,1018.3,0.0,5.1
2016-01-03 05:00:00,location 7369,15.6,,330.0,12.8,1019.0,-1.0,5.1
2016-01-03 06:00:00,location 7369,15.6,8.0,330.0,13.3,1018.4,-1.0,8.2
2016-01-03 07:00:00,location 7369,15.0,,350.0,12.2,1017.9,0.0,6.2
2016-01-03 08:00:00,location 7369,15.0,,350.0,12.2,1017.0,0.0,6.7
2016-01-03 09:00:00,location 7369,15.0,,340.0,12.2,1016.7,0.0,5.1
2016-01-03 10:00:00,location 7369,14.4,,340.0,11.7,1017.0,0.0,4.6
2016-01-03 11:00:00,location 7369,14.4,,350.0,12.2,1016.9,0.0,4.1
2016-01-03 12:00:00,location 7369,14.4,8.0,10.0,12.2,1017.0,0.0,4.6
2016-01-03 13:00:00,location 7369,14.4,,350.0,12.2,1017.9,-1.0,6.7
2016-01-03 14:00:00,location 7369,13.3,,340.0,11.7,1019.3,-1.0,6.7
2016-01-03 15:00:00,location 7369,13.3,,360.0,11.7,1019.1,3.0,5.1
2016-01-03 16:00:00,location 7369,13.3,,110.0,12.2,1016.7,-1.0,5.1
2016-01-03 17:00:00,location 7369,13.3,,350.0,12.2,1016.9,0.0,4.6
2016-01-03 18:00:00,location 7369,14.4,8.0,320.0,12.8,1016.6,0.0,4.1
2016-01-03 19:00:00,location 7369,15.0,,330.0,12.8,1015.6,-1.0,2.1
2016-01-03 20:00:00,location 7369,14.4,,310.0,12.8,1015.7,3.0,3.1
2016-01-03 21:00:00,location 7369,14.4,,340.0,13.3,1015.1,5.0,3.6
2016-01-03 22:00:00,location 7369,13.9,,350.0,12.2,1015.0,-1.0,5.1
2016-01-03 23:00:00,location 7369,12.8,,340.0,11.7,1014.6,8.0,4.1
2016-01-04 00:00:00,location 7369,12.2,8.0,350.0,11.1,1015.1,8.0,4.6
2016-01-04 01:00:00,location 7369,11.7,,320.0,11.1,1015.8,8.0,4.6
2016-01-04 02:00:00,location 7369,11.1,,320.0,10.0,1016.3,-1.0,4.1
2016-01-04 03:00:00,location 7369,11.1,,290.0,10.0,,2.0,4.1
2016-01-04 04:00:00,location 7369,9.4,,360.0,7.2,1015.6,-1.0,3.6
2016-01-04 05:00:00,location 7369,10.6,,320.0,7.8,1014.9,0.0,2.6
2016-01-04 06:00:00,location 7369,10.0,8.0,270.0,8.3,1015.1,0.0,2.6
2016-01-04 07:00:00,location 7369,10.0,,320.0,7.8,1014.2,0.0,5.1
2016-01-04 08:00:00,location 7369,10.6,,310.0,7.8,1014.0,0.0,3.6
2016-01-04 09:00:00,location 7369,10.6,,330.0,6.7,1013.7,0.0,4.1
2016-01-04 10:00:00,location 7369,10.0,,320.0,4.4,1014.2,0.0,5.7
2016-01-04 11:00:00,location 7369,10.0,,340.0,4.4,1014.4,0.0,3.1
2016-01-04 12:00:00,location 7369,9.4,6.0,320.0,4.4,1015.3,0.0,5.1
2016-01-04 13:00:00,location 7369,8.9,4.0,320.0,3.9,1016.2,0.0,4.1
2016-01-04 14:00:00,location 7369,11.1,2.0,320.0,2.2,1016.7,0.0,4.6
2016-01-04 15:00:00,location 7369,13.3,4.0,330.0,2.2,1017.3,0.0,6.2
2016-01-04 16:00:00,location 7369,15.6,2.0,330.0,1.1,1016.9,0.0,3.6
2016-01-04 17:00:00,location 7369,15.6,0.0,320.0,-0.6,1016.8,0.0,4.1
2016-01-04 18:00:00,location 7369,17.2,0.0,310.0,-1.7,1016.0,0.0,5.1
2016-01-04 19:00:00,location 7369,17.8,0.0,300.0,-0.6,1015.3,0.0,4.6
2016-01-04 20:00:00,location 7369,17.8,0.0,300.0,-1.7,1015.6,0.0,5.7
2016-01-04 21:00:00,location 7369,17.8,0.0,300.0,-0.6,1016.0,0.0,5.7
2016-01-04 22:00:00,location 7369,17.8,0.0,320.0,-1.1,1016.5,0.0,3.6
2016-01-04 23:00:00,location 7369,14.4,0.0,320.0,2.2,1017.4,0.0,2.6
2016-01-05 00:00:00,location 7369,13.3,0.0,20.0,3.9,1017.9,0.0,4.6
2016-01-05 01:00:00,location 7369,13.3,0.0,30.0,4.4,1019.0,0.0,7.7
2016-01-05 02:00:00,location 7369,12.2,0.0,30.0,6.1,1020.4,0.0,5.1
2016-01-05 03:00:00,location 7369,11.1,2.0,360.0,6.7,1021.0,0.0,4.1
2016-01-05 04:00:00,location 7369,11.7,0.0,360.0,6.1,1021.2,0.0,5.7
2016-01-05 05:00:00,location 7369,10.6,0.0,350.0,6.1,1021.3,0.0,4.1
2016-01-05 06:00:00,location 7369,10.0,0.0,360.0,6.1,1020.9,0.0,4.1
2016-01-05 07:00:00,location 7369,10.6,0.0,360.0,6.1,1020.9,0.0,4.6
2016-01-05 08:00:00,location 7369,10.6,0.0,360.0,6.7,1020.8,0.0,5.1
2016-01-05 09:00:00,location 7369,10.0,0.0,360.0,6.7,1021.5,0.0,4.6
2016-01-05 10:00:00,location 7369,10.6,0.0,360.0,6.7,1022.2,0.0,4.6
2016-01-05 11:00:00,location 7369,11.1,0.0,10.0,6.7,1022.5,0.0,5.1
